2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Worcester County, Maryland",20646,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Wicomico County, Maryland",46264,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Washington County, Maryland",62450,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Talbot County, Maryland",14380,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"St Marys County, Maryland",51040,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Somerset County, Maryland",8732,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Queen Annes County, Maryland",23019,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Prince Georges County, Maryland",455770,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Montgomery County, Maryland",512828,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Kent County, Maryland",7856,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Howard County, Maryland",157857,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Harford County, Maryland",120856,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Garrett County, Maryland",12237,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Frederick County, Maryland",124241,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Dorchester County, Maryland",13064,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Charles County, Maryland",76767,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Cecil County, Maryland",440196,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Carroll County, Maryland",79413,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Caroline County, Maryland",14231,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Calvert County, Maryland",43077,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Baltimore County, Maryland",384103,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Baltimore City, Maryland",267931,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",268270,,,,
2020,Employment Status By Disability Status,Labor Force,Non Disabled,"Allegany County, Maryland",25381,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"Worcester County, Maryland",1462,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"Wicomico County, Maryland",2805,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"Washington County, Maryland",4938,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"Talbot County, Maryland",978,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"St Marys County, Maryland",3795,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"Somerset County, Maryland",782,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"Queen Annes County, Maryland",1072,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"Prince Georges County, Maryland",24999,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"Montgomery County, Maryland",22390,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"Kent County, Maryland",471,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"Howard County, Maryland",6177,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"Harford County, Maryland",6233,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"Garrett County, Maryland",999,,,,
2020,Employment Status By Disability Status,Labor Force,Disabled,"Frederick County, Maryland",6888,,,,
